Tag;Description;HTML5;Deprecated;Parent;DOM class;Aditional attr methods;;;
rp;Defines what to show in browsers that do not support ruby annotations;+;-;Container;HTMLElement;;;;
rt;Defines an explanation/pronunciation of characters (for East Asian typography);+;-;Container;HTMLElement;;;;
ruby;Defines a ruby annotation (for East Asian typography);+;-;Container;HTMLElement;;;;
s;Defines text that is no longer correct;-;-;Container;HTMLElement;;;;
samp;Defines sample output from a computer program;-;-;Container;HTMLElement;;;;
script;Defines a client-side script;-;-;Container;HTMLElement;;;;
section;Defines a section in a document;+;-;Container;HTMLElement;;;;
select;Defines a drop-down list;-;-;Container;HTMLSelectElement;;;;
small;Defines smaller text;-;-;Container;HTMLElement;;;;
source;Defines multiple media resources for media elements (video and audio);+;-;Container;HTMLSourceElement;;;;
span;Defines a section in a document;-;-;Container;HTMLSpanElement;;;;
strike;Not supported in HTML5. Use del instead.Defines strikethrough text;-;+;Container;HTMLElement;;;;
strong;Defines important text;-;-;Container;HTMLElement;;;;
style;Defines style information for a document;-;-;Container;HTMLStyleElement;;;;
sub;Defines subscripted text;-;-;Container;HTMLElement;;;;
summary;Defines a visible heading for a details element;+;-;Container;HTMLElement;;;;
sup;Defines superscripted text;-;-;Container;HTMLElement;;;;
table;Defines a table;-;-;Container;HTMLTableElement;;;;
tbody;Groups the body content in a table;-;-;Container;HTMLTableSectionElement;;;;
td;Defines a cell in a table;-;-;Container;HTMLTableDataCellElement;;HTMLTableCellElement;;
textarea;Defines a multiline input control (text area);-;-;Container;HTMLTextAreaElement;;;;
tfoot;Groups the footer content in a table;-;-;Container;HTMLTableSectionElement;;;;
th;Defines a header cell in a table;-;-;Container;HTMLTableHeaderCellElement;;HTMLTableCellElement;;
thead;Groups the header content in a table;-;-;Container;HTMLTableSectionElement;;;;
time;Defines a date/time;+;-;Container;HTMLElement;;;;
title;Defines a title for the document;-;-;Container;HTMLTitleElement;;;;
tr;Defines a row in a table;-;-;Container;HTMLTableRowElement;;;;
track;Defines text tracks for media elements (video and audio);+;-;Container;HTMLTrackElement;;;;
tt;Not supported in HTML5. Use CSS instead.Defines teletype text;-;+;Container;HTMLElement;;;;
u;Defines text that should be stylistically different from normal text;-;-;Container;HTMLElement;;;;
ul;Defines an unordered list;-;-;Container;HTMLUListElement;;;;
var;Defines a variable;-;-;Container;HTMLElement;;;;
video;Defines a video or movie;+;-;Container;HTMLVideoElement;;HTMLMediaElement;;
wbr;Defines a possible line-break;+;-;Container;HTMLElement;;;;
